solution_id,booth_label,booth_id,position_in_booth,job_index,job_id,feeder_index,part_id,topcoat
61,PB2,2,46,103,J000090,104,rear_bumper_a,C_POLAR_WHITE
61,PB2,2,47,160,J000081,161,rear_bumper_a,C_RUBY_RED
61,PB2,2,48,6,J000092,7,rear_bumper_a,C_IRIDIUM_SILVER
61,PB2,2,49,41,J000044,42,front_bumper_d,C_OBSIDIAN_BLACK
61,PB2,2,50,40,J000043,41,front_bumper_d,C_OBSIDIAN_BLACK
61,PB2,2,51,27,J000138,28,threshold_a,C_SHINING_BLUE
61,PB2,2,52,115,J000120,116,rear_bumper_g,C_MILAN_SILVER
61,PB2,2,53,107,J000134,108,rim_decoration_a,C_POLAR_WHITE
61,PB2,2,54,109,J000009,110,middle_spoiler_a,C_MILAN_SILVER
61,PB2,2,55,151,J000104,152,rear_bumper_c,C_DIAMOND_WHITE
61,PB2,2,56,0,J000001,1,upper_grille_a,C_IRIDIUM_SILVER
61,PB2,2,57,54,J000096,55,rear_bumper_c,C_OBSIDIAN_BLACK
61,PB2,2,58,72,J000025,73,front_bumper_a,C_POLAR_WHITE
61,PB2,2,59,13,J000010,14,front_bumper_a,C_SHINING_BLUE
61,PB2,2,60,10,J000174,11,threshold_trim_a,C_IRIDIUM_SILVER
61,PB2,2,61,60,J000102,61,rear_bumper_c,C_OBSIDIAN_BLACK
61,PB2,2,62,55,J000097,56,rear_bumper_c,C_OBSIDIAN_BLACK
61,PB2,2,63,37,J000040,38,front_bumper_d,C_OBSIDIAN_BLACK
61,PB2,2,64,7,J000106,8,rear_bumper_d,C_IRIDIUM_SILVER
61,PB2,2,65,56,J000098,57,rear_bumper_c,C_OBSIDIAN_BLACK
61,PB2,2,66,106,J000129,107,shell_a,C_POLAR_WHITE
61,PB2,2,67,20,J000064,21,front_bumper_f,C_SHINING_BLUE
61,PB2,2,68,26,J000132,27,rim_decoration_a,C_SHINING_BLUE
61,PB2,2,69,39,J000042,40,front_bumper_d,C_OBSIDIAN_BLACK
61,PB2,2,70,1,J000002,2,upper_grille_a,C_IRIDIUM_SILVER
61,PB2,2,71,2,J000003,3,upper_grille_b,C_IRIDIUM_SILVER
61,PB2,2,72,53,J000095,54,rear_bumper_c,C_OBSIDIAN_BLACK
61,PB2,2,73,182,J000182,183,radar_bracket_e,C_DENIM_BLUE
61,PB2,2,74,170,J000144,171,threshold_a,C_RUBY_RED
61,PB2,2,75,171,J000176,172,radar_bracket_a,C_RUBY_RED
61,PB2,2,76,113,J000093,114,rear_bumper_b,C_MILAN_SILVER
61,PB2,2,77,43,J000046,44,front_bumper_d,C_OBSIDIAN_BLACK
61,PB2,2,78,105,J000107,106,rear_bumper_e,C_POLAR_WHITE
61,PB2,2,79,71,J000024,72,front_bumper_a,C_POLAR_WHITE
61,PB2,2,80,150,J000078,151,front_bumper_g,C_DIAMOND_WHITE
61,PB2,2,81,48,J000049,49,front_bumper_d,C_OBSIDIAN_BLACK
61,PB2,2,82,14,J000011,15,front_bumper_a,C_SHINING_BLUE
61,PB2,2,83,15,J000012,16,front_bumper_a,C_SHINING_BLUE
61,PB2,2,84,46,J000047,47,front_bumper_d,C_OBSIDIAN_BLACK
61,PB2,2,85,94,J000070,95,front_bumper_f,C_POLAR_WHITE
61,PB2,2,86,73,J000029,74,front_bumper_b,C_POLAR_WHITE
61,PB2,2,87,99,J000086,100,rear_bumper_a,C_POLAR_WHITE
61,PB2,2,88,98,J000074,99,front_bumper_f,C_POLAR_WHITE
61,PB2,2,89,25,J000126,26,shell_a,C_SHINING_BLUE
61,PB2,2,90,58,J000100,59,rear_bumper_c,C_OBSIDIAN_BLACK
61,PB2,2,91,64,J000017,65,front_bumper_a,C_POLAR_WHITE
61,PB2,2,92,74,J000065,75,front_bumper_f,C_POLAR_WHITE
62,PB1,1,0,97,J000073,98,front_bumper_f,C_POLAR_WHITE
62,PB1,1,1,93,J000069,94,front_bumper_f,C_POLAR_WHITE
62,PB1,1,2,130,J000171,131,threshold_d,C_POLAR_WHITE
62,PB1,1,3,173,J000125,174,rear_bumper_g,C_DIAMOND_WHITE
62,PB1,1,4,122,J000149,123,threshold_a,C_POLAR_WHITE
62,PB1,1,5,51,J000055,52,front_bumper_e,C_OBSIDIAN_BLACK
62,PB1,1,6,121,J000148,122,threshold_a,C_POLAR_WHITE
62,PB1,1,7,110,J000026,111,front_bumper_a,C_MILAN_SILVER
62,PB1,1,8,90,J000165,91,threshold_c,C_OBSIDIAN_BLACK
62,PB1,1,9,135,J000039,136,front_bumper_d,C_SAPPHIRE_BLUE
62,PB1,1,10,166,J000127,167,shell_a,C_RUBY_RED
62,PB1,1,11,163,J000084,164,rear_bumper_a,C_RUBY_RED
62,PB1,1,12,9,J000173,10,threshold_trim_a,C_IRIDIUM_SILVER
62,PB1,1,13,31,J000016,32,front_bumper_a,C_OBSIDIAN_BLACK
62,PB1,1,14,125,J000152,126,threshold_a,C_POLAR_WHITE
62,PB1,1,15,174,J000137,175,rim_decoration_b,C_DIAMOND_WHITE
62,PB1,1,16,89,J000164,90,threshold_c,C_OBSIDIAN_BLACK
62,PB1,1,17,34,J000035,35,front_bumper_c,C_OBSIDIAN_BLACK
62,PB1,1,18,164,J000110,165,rear_bumper_f,C_RUBY_RED
62,PB1,1,19,123,J000150,124,threshold_a,C_POLAR_WHITE
62,PB1,1,20,11,J000175,12,threshold_trim_a,C_IRIDIUM_SILVER
62,PB1,1,21,118,J000172,119,threshold_e,C_MILAN_SILVER
62,PB1,1,22,65,J000018,66,front_bumper_a,C_POLAR_WHITE
62,PB1,1,23,178,J000183,179,radar_bracket_e,C_DIAMOND_WHITE
62,PB1,1,24,88,J000161,89,threshold_b,C_OBSIDIAN_BLACK
