token_index,token_type,part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family,setup_cost,cumulative_setup_cost
111,JOB,rear_bumper_e,Rear bumper E,Polar White,1.0,C_POLAR_WHITE,1.0,6.0,J000107,43.0,1.0,Rear bumper E,Rear bumper,E,15.0,Polar White,1.0,WHITE,0.0,6.0
112,JOB,shell_a,Shell A,Polar White,1.0,C_POLAR_WHITE,1.0,87.0,J000129,54.0,1.0,Shell A,Shell,A,18.0,Polar White,1.0,WHITE,0.0,6.0
113,JOB,rim_decoration_a,Rim decoration A,Polar White,1.0,C_POLAR_WHITE,2.0,168.0,J000134,59.0,1.0,Rim decoration A,Rim decoration,A,19.0,Polar White,1.0,WHITE,0.0,6.0
114,JOB,rim_decoration_a,Rim decoration A,Polar White,1.0,C_POLAR_WHITE,2.0,168.0,J000135,59.0,2.0,Rim decoration A,Rim decoration,A,19.0,Polar White,1.0,WHITE,0.0,6.0
115,JOB,middle_spoiler_a,Middle spoiler A,Milan Silver,7.0,C_MILAN_SILVER,1.0,76.0,J000009,6.0,1.0,Middle spoiler A,Middle spoiler,A,3.0,Milan Silver,7.0,SILVER,1.0,7.0
116,JOB,front_bumper_a,Front bumper A,Milan Silver,7.0,C_MILAN_SILVER,1.0,84.0,J000026,11.0,1.0,Front bumper A,Front bumper,A,4.0,Milan Silver,7.0,SILVER,0.0,7.0
117,JOB,front_bumper_e,Front bumper E,Milan Silver,7.0,C_MILAN_SILVER,1.0,75.0,J000057,25.0,1.0,Front bumper E,Front bumper,E,8.0,Milan Silver,7.0,SILVER,0.0,7.0
118,JOB,front_bumper_g,Front bumper G,Milan Silver,7.0,C_MILAN_SILVER,1.0,20.0,J000076,30.0,1.0,Front bumper G,Front bumper,G,10.0,Milan Silver,7.0,SILVER,0.0,7.0
119,JOB,rear_bumper_b,Rear bumper B,Milan Silver,7.0,C_MILAN_SILVER,1.0,75.0,J000093,37.0,1.0,Rear bumper B,Rear bumper,B,12.0,Milan Silver,7.0,SILVER,0.0,7.0
120,JOB,rear_bumper_f,Rear bumper F,Milan Silver,7.0,C_MILAN_SILVER,1.0,41.0,J000115,47.0,1.0,Rear bumper F,Rear bumper,F,16.0,Milan Silver,7.0,SILVER,0.0,7.0
121,JOB,rear_bumper_g,Rear bumper G,Milan Silver,7.0,C_MILAN_SILVER,1.0,79.0,J000120,49.0,1.0,Rear bumper G,Rear bumper,G,17.0,Milan Silver,7.0,SILVER,0.0,7.0
122,JOB,shell_a,Shell A,Milan Silver,7.0,C_MILAN_SILVER,1.0,3.0,J000131,56.0,1.0,Shell A,Shell,A,18.0,Milan Silver,7.0,SILVER,0.0,7.0
123,JOB,threshold_a,Threshold A,Milan Silver,7.0,C_MILAN_SILVER,1.0,83.0,J000153,67.0,1.0,Threshold A,Threshold,A,21.0,Milan Silver,7.0,SILVER,0.0,7.0
124,JOB,threshold_e,Threshold E,Milan Silver,7.0,C_MILAN_SILVER,1.0,12.0,J000172,74.0,1.0,Threshold E,Threshold,E,25.0,Milan Silver,7.0,SILVER,0.0,7.0
125,JOB,radar_bracket_d,Radar bracket D,Milan Silver,7.0,C_MILAN_SILVER,1.0,3.0,J000181,81.0,1.0,Radar bracket D,Radar bracket,D,30.0,Milan Silver,7.0,SILVER,0.0,7.0
